model,users,precision_at_10,recall_at_10,hit_rate_at_10,map_at_10,ndcg_at_10,genre_diversity
Hybrid,500,0.005,0.05,0.05,0.018712698412698413,0.025988857427508835,0.23457777777777777
Popularity,500,0.004600000000000001,0.046,0.046,0.018742857142857144,0.0249642355522877,0.3413333333333333
