user_segment,users,average_history,precision_at_10,recall_at_10,hit_rate_at_10,map_at_10,ndcg_at_10
Cold Start (0-2),0,,,,,,
Light (3-5),0,,,,,,
Medium (6-10),0,,,,,,
Heavy (11-25),69,21.057971014492754,0.008695652173913045,0.08695652173913043,0.08695652173913043,0.037077294685990345,0.04878824942386278
Very Heavy (26+),431,164.17169373549885,0.004408352668213458,0.04408352668213457,0.04408352668213457,0.015772658638087873,0.02233883875523871
