model,users_sampled,K,unique_recommended_movies,catalog_size,catalog_coverage
Popularity,2000,10,157,3706,0.04236373448461954
Content-Based,2000,10,50,3706,0.013491635186184566
Collaborative Filtering,2000,10,645,3706,0.1740420939017809
Hybrid,2000,10,605,3706,0.16324878575283325
