model,K,Precision@K,Recall@K,MAP@K,NDCG@K,users_evaluated,NDCG_lift_vs_popularity,NDCG_relative_lift_vs_popularity
Collaborative Filtering,10,0.008268434134217068,0.08268434134217068,0.030381767730566403,0.04250928689515106,6035,0.020565339480237886,0.937175937008563
Hybrid,10,0.007754763877381939,0.07754763877381939,0.02049137965045173,0.03367191297680328,6035,0.01172796556189011,0.5344510420180715
Popularity,10,0.004424192212096107,0.044241922120961064,0.01534343314790705,0.02194394741491317,6035,0.0,0.0
Content-Based,10,0.000347970173985087,0.0034797017398508698,0.0009630988545653002,0.001517639319567342,6035,-0.02042630809534583,-0.9308401860945059
